Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
269	Brandon Kerns	M	M35-39	57	10:24:43	1:00:05	5:19:42	3:50:00
270	Kyle Anderson	M	M35-39	58	10:24:56	0:44:13	5:02:52	4:25:17
271	Will Seimetz	M	M35-39	59	10:25:07	0:59:16	5:13:59	3:49:32
272	Sam Frauhiger	M	M25-29	35	10:25:09	0:47:15	5:27:09	3:57:30
273	Oliver Melbourn	M	M25-29	36	10:25:30	0:54:15	5:05:21	4:00:22
274	Sam Kingsley	M	M35-39	60	10:25:34	0:56:31	5:21:49	3:52:58
275	Guillermo Zambrano	M	M35-39	61	10:25:44	0:51:56	5:14:19	4:05:50
276	Jeff Raines	M	M35-39	62	10:25:58	0:49:34	5:13:50	4:10:03
277	Pablo Hsu	M	M18-24	18	10:26:12	0:55:10	5:14:50	3:57:28
278	Carrie Heidrich	F	F45-49	3	10:26:31	0:52:31	5:29:35	3:46:32
279	Nate Meadows	M	M18-24	19	10:26:41	0:55:49	5:26:07	3:53:44
280	Jeff Lam	M	M45-49	32	10:26:49	1:03:12	5:11:58	3:59:26
281	David Schatz	M	M45-49	33	10:26:54	1:02:51	5:09:57	3:56:33
282	Sutton Payne	M	M25-29	37	10:27:05	0:50:27	5:26:21	3:54:41
283	Aaron Tolson	M	M50-54	22	10:27:06	1:00:01	5:10:28	4:00:58
284	Cameron Vetter	M	M25-29	38	10:27:10	0:53:34	5:37:48	3:43:16
285	Mitchell Belford	M	M30-34	35	10:27:25	0:54:43	5:23:14	3:55:52
286	Jim Larrieu	M	M65-69	1	10:27:57	0:55:11	5:15:03	4:05:37
287	Keagan O'Connor	M	M18-24	20	10:28:23	0:47:49	5:49:02	3:39:39
288	Armand Gaerlan	M	M40-44	41	10:28:35	0:55:57	5:14:33	4:04:03
289	John Uribe	M	M50-54	23	10:28:45	1:08:12	5:13:37	3:49:48
290	Will Clemens	M	M18-24	21	10:29:01	0:55:04	5:23:11	3:58:15
291	Luis Antonio Callejas	M	M40-44	42	10:29:01	0:57:15	5:29:25	3:50:00
292	Stephen Smith	M	M40-44	43	10:29:05	0:59:20	5:16:43	3:56:27
293	Michael Martinez	M	M35-39	63	10:29:12	0:54:58	5:09:39	4:07:47
294	Patrick Wells	M	M25-29	39	10:29:18	0:53:18	5:04:50	4:21:58
295	AJ Phillips	M	M25-29	40	10:29:21	0:52:26	5:19:05	3:52:45
296	Lee Albrecht	M	M45-49	34	10:29:26	1:05:11	5:06:18	4:06:16
297	Nissim Bussu	M	M35-39	64	10:29:35	0:58:52	5:12:41	4:08:08
298	Peyton Witcher	M	M25-29	41	10:30:12	0:58:35	5:21:46	3:55:07
299	Jon Nicanor	M	M45-49	35	10:30:21	0:54:17	4:59:37	4:25:27
300	Jacqueline Hellard	F	F40-44	5	10:30:31	1:00:22	5:23:59	3:47:48
301	Xavier Martinez	M	M25-29	42	10:30:44	0:57:21	5:33:10	3:48:24
302	John Kelly III	M	M25-29	43	10:31:03	0:54:30	5:03:08	4:16:03
303	Jacob Zander	M	M30-34	36	10:31:17	0:56:08	5:11:54	4:10:41
304	Derek Liou	M	M50-54	24	10:31:29	0:52:18	5:21:12	4:05:44
305	Alessandro Castanhede	M	M45-49	36	10:31:40	1:00:15	5:07:08	4:05:50
306	Rob Boyce	M	M55-59	20	10:31:46	0:56:40	5:09:33	4:11:36
307	Ryan Hon	M	M35-39	65	10:31:51	0:57:24	4:52:32	4:26:40
308	Luis Eduardo Meurinne Ferreiro	M	M25-29	44	10:31:51	0:57:43	5:17:37	4:01:48
309	Eliza Dawson	F	F25-29	3	10:32:35	0:50:39	5:21:12	4:06:48
310	Daniel Rott	M	M40-44	44	10:32:38	1:00:27	5:20:19	3:56:08
311	Jacob Virtue	M	M30-34	37	10:32:49	0:55:23	5:18:54	4:02:33
312	Elchin Bakirov	M	M35-39	66	10:32:50	0:55:01	5:07:46	4:17:26
313	Scott Zakaluzny	M	M45-49	37	10:32:52	0:53:18	5:21:25	4:05:51
