Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
291	Joseph Ulrich	M	M18-24	32	11:45:51	0:58:17	6:03:03	4:31:04
292	Maggie Liaboe	F	F35-39	4	11:45:59	1:19:10	6:14:28	3:55:49
293	Jordan Fullan	F	F35-39	5	11:46:04	1:19:01	6:14:31	3:55:49
294	Sam Casey	M	M18-24	33	11:46:33	1:03:07	6:25:23	3:57:24
295	Rachel Burke	F	F40-44	4	11:47:00	1:23:27	6:15:29	3:46:38
296	Hayden Van Camp	M	M18-24	34	11:47:39	1:41:31	5:56:55	3:50:42
297	Cole Cloutier	M	M30-34	49	11:47:52	1:09:57	6:30:08	3:48:14
298	Paul Gibson	M	M50-54	17	11:48:05	1:22:46	5:56:30	4:10:27
299	Steven Goggin	M	M35-39	47	11:48:11	1:07:48	6:12:58	4:14:04
300	Maxwell Olson	M	M18-24	35	11:48:32	1:32:59	5:55:43	4:03:51
301	Grace Reeder	F	F25-29	5	11:48:40	0:58:37	6:06:10	4:28:33
302	Mark Philips	M	M45-49	38	11:48:53	1:03:38	5:59:29	4:31:18
303	Morgan Gibbs	F	F18-24	4	11:48:55	1:18:52	6:09:51	4:04:02
304	Ramiro Lopez Jr	M	M25-29	49	11:49:03	1:19:48	6:15:26	3:56:52
305	Chris Malek	M	M35-39	48	11:49:08	1:14:35	6:07:57	4:11:58
306	Justin Goldstein	M	M35-39	49	11:49:08	1:19:18	6:11:35	4:00:23
307	Melaney Irving	F	F25-29	6	11:49:33	1:10:10	6:14:37	4:10:08
308	Aaron Bugh	M	M30-34	50	11:49:59	1:12:19	6:21:36	3:59:20
309	Alexander Timperman	M	M25-29	50	11:50:20	1:19:25	6:04:18	4:07:38
310	Kevin Longmeier	M	M40-44	31	11:51:00	1:18:23	5:56:41	4:13:40
311	Michael Kurdziel	M	M35-39	50	11:51:10	1:19:38	6:11:29	4:03:00
312	John Heath	M	M50-54	18	11:51:35	1:15:22	6:05:43	4:13:00
313	Taylor Bushong	M	M30-34	51	11:51:37	1:16:57	5:41:14	4:40:01
314	James Baker	M	M25-29	51	11:51:41	1:15:38	6:20:45	3:53:53
315	Nick Bellmann	M	M45-49	39	11:51:45	1:21:54	6:16:53	3:44:43
